full_name,mirror_url,archived,disabled,size,stars,watches,forks,owner_type,if_fork,description,homepage,license,files,language,formats,commits,branches,releases,contributors,topics,age,has_issues,open_issues,closed_issues,open_issues_recent,closed_issues_recent,open_prs,closed_prs,open_prs_recent,closed_prs_recent,labels,milestones,recent_contributors,recent_commits,recent_added,recent_deleted,dependent_repositories,dependent_packages,repositories,people,followers,info,readme
WeissandBeans/Constructor,,False,False,4372,0,2,3,User,False,,,,54,Java,"{'': 3, 'ini': 1, 'fdt': 2, 'fdx': 1, 'fnm': 1, 'frq': 1, 'nrm': 1, 'tii': 1, 'DS_Store': 2, 'classpath': 1, 'gitignore': 1, 'project': 1, 'txt': 1, 'java': 15, 'fxml': 7, 'jpg': 9, 'png': 6}",94,13,0,5,0,605,True,0,0,0,0,0,29,0,0,8,0,0,0,0,0,0,0,,,0,,
blfranciscovich/comp830730project,,False,False,38,0,0,2,User,False,comp830/730 project,,,12,Java,"{'java': 8, '': 3, 'md': 1}",40,1,0,3,0,599,True,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,,,0,,# comp830730projectþcomp830/730 project
BBBSP/TheDisaster,,False,False,197,0,0,3,User,False,,,,9,Java,"{'md': 1, 'java': 8}",118,1,0,3,0,595,True,0,0,0,0,0,35,0,0,8,0,0,0,0,0,0,0,,,0,,# TheDisaster
SupremeBeing/Silver-Hammer,,False,False,504,1,1,2,User,False,Extensible annotation-based UI generation framework,,"{'key': 'bsd-2-clause', 'name': 'BSD 2-Clause ""Simplified"" License', 'spdx_id': 'BSD-2-Clause', 'url': 'https://api.github.com/licenses/bsd-2-clause', 'node_id': 'MDc6TGljZW5zZTQ='}",126,Java,"{'': 1, 'txt': 1, 'md': 1, 'xml': 4, 'java': 114, 'png': 3, 'properties': 2}",99,2,1,1,3,1063,True,2,1,0,0,0,2,0,0,7,0,1,3,383,3883,0,0,,,0,SupremeBeing/silver-hammer,"# Silver Hammerþþ## OverviewþþSilver Hammer is an extensible annotation-based UI generation framework.þþCurrently only Swing implementation is present. Web implementation is planned.þþ## Exampleþþ### Sample dataþ```javaþpublic class Person {þþ private static final String EMAIL = ""\\b[a-zA-Z0-9._%-]+@[a-zA-Z0-9.-]+\\.[a-zA-Z]{2,4}\\b"";þ  þ @Textþ @Caption(""Name"")þ @MinSize(value = 1, message = ""Name must be specified"")þ private String name;þ  þ @Textþ @Caption(""E-mail"")þ @StringFormat(format = EMAIL, message = ""Invalid e-mail"")þ @MinSize(value = 1, message = ""E-mail must be specified"")þ private String email;þþ}þ```þþ### Executionþ```javaþþPerson person = new Person();þProcessor processor = new Processor(new SwingControlResolver());þUiModel metadata = processor.process(person);þSwingUiBuilder builder = new SwingUiBuilder(""Silver Hammer Demo"");þbuilder.showUi(metadata);þþ```þþFor detailed examples please refer to `silver-hammer-demo` module."
maurobilotti/smappio,,False,False,47024,0,5,2,User,False,,,,184,Java,"{'': 3, 'txt': 5, 'ino': 5, 'docx': 2, 'h': 10, 'cpp': 7, 'md': 1, 'gitignore': 3, 'xml': 57, 'ser': 1, 'gradle': 3, 'pro': 1, 'java': 18, 'png': 35, 'properties': 2, 'jar': 1, 'bat': 1, 'ico': 1, 'sln': 1, 'config': 2, 'cs': 19, 'resx': 3, 'settings': 1, 'jpg': 1, 'csproj': 1}",261,6,0,5,0,796,True,0,0,0,0,0,0,0,0,8,0,1,1,2,2,0,0,,,0,,"# SmappioþþWireless electronic sthetoscope developed by using Adafruit Feather Huzzah ESP32 module along with Adafruit I2S SPH0645 to capture body sounds (heart and lungs mainly). þþThe HW folder contains all the C/C++ (Arduino) for the hardware, and the SW contains two clients projects that connects via WiFi to the device. Those projects were develop with .NET Winforms and Android respectivly. þþHope this project could help anyone else. þþThis project was develop as a thesis for our careers of Systems Information Engineer in the UTN University (Argentina).þþMembers:þ* Mauro Bilotti (mauro_bilo@hotmail.com)þ* Pablo Furst (furstpablo@gmail.com)þ* Augusto Bonabia (augusto.bonabia@gmail.com)þ* Nicolas Morales (nicmora@gmail.com)þ* Diego Jaime (diegonjaime@gmail.com)"
ArtemBakun650502/YouTube-Downloader,,False,False,463,0,0,1,User,False,,,,39,Java,"{'PNG': 8, 'md': 10, 'png': 11, 'fxml': 4, 'java': 6}",81,1,0,1,0,610,True,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,,,0,,"# YouTube-Downloaderþ YouTube-Downloader - это приложение, позволяющее скачивать видео в разных форматах с платформы YouTube на ПК.þþ### REQUIREMENTS: ([Ru](https://github.com/ArtemBakun650502/YouTube-Downloader/blob/master/Documents/Requirements/Requirements.md))þþ### Diagrams: ([Ru](https://github.com/ArtemBakun650502/YouTube-Downloader/blob/master/Documents/Diagrams/README.md))þþ### Source code: ([Ru](https://github.com/ArtemBakun650502/YouTube-Downloader/tree/master/Project/src/main/java))þþ### Test Plan: ([Ru](https://github.com/ArtemBakun650502/YouTube-Downloader/blob/master/Testing/TestPlan.md))þþ### Result of the testing: ([Ru](https://github.com/ArtemBakun650502/YouTube-Downloader/blob/master/Testing/Test.md))þþ### Refactoring: ([Ru](https://github.com/ArtemBakun650502/YouTube-Downloader/blob/master/Documents/Refactoring/refactoring.md))"
vzhan100/Time-Banking,,False,False,29792,1,2,2,User,False,Time Banking App: Where users can request or respond to a job post by using time as the currency.,,,47,Java,"{'docx': 2, 'md': 1, 'zip': 1, 'java': 12, 'xml': 20, 'png': 11}",53,1,0,4,0,803,True,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,,,0,,"# Time-BankingþþTime Bank AppHEREþþIntroduction:þThis is a mobile based application where people on this platform can trade hours as local currency. This system provides a means for people to request different services and provide diverse services to people on this platform. When a user needs a request, the request is posted which is broadcasted and made available to all users of the application. The request posted includes how much time the requester is willing to trade for the service.þ þThe major roles of this system are:þ• The requester who will need a serviceþ• The responder who is available to provide service to the requesterþ þThe major use cases of the system are:þ• User signs up with name, location, descriptionþ• Requester posts a serviceþ• Responder browses through all available services requestþ• Responder views approximate time to a service locationþ• Requester rates the service provided by a responderþþþþContact Vincent for full project."
VerachtertAaron/Bool-CompositePattern,,False,False,3,0,1,3,User,False,,,,8,Java,"{'MD': 1, 'gradle': 2, 'java': 5}",2,1,0,1,0,593,True,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,,,0,,"# Composite PatternþþDeze opdracht heeft als doel om het composite pattern toe te kunnen passen.þHet is ineens ook een oefening op refactoring.þþ## ContextþþDe kerstman wilt ook wel eens meedoen met al dat gedoe van kerstversiering, en beslist daarom om zijn huis te versieren tijdens de kerstperiode.þHij heeft zijn huis helemaal voorbereid, maar helaas heeft Amazon zijn domoticapakket niet op tijd geleverd.þDe enige oplossing is om per versiering een elf te stationeren en via walkie-talkie's aan elke elf te laten weten dat hij de versiering moet aanzetten.þHij komt er al snel achter dat de walkie-talkie's niet van goede kwaliteit zijn (made in China).þEen set van 4 walkie-talkie's is op voorhand ingesteld op een vaste (unieke) frequentie en de kerstman heeft maar plaats voor 1 walkie-talkie in zijn broekzak.þþDat wordt dus een sobere versiering van 3 stuks...þþ## Oefening 1þþDe oplossing is simpel: als hij gewoon extra elfjes inschakelt met twee walkie-talkie's van twee verschillende sets, kunnen die met versieringselfjes communiceren!þþVb. Als hij 5 stuks versiering wilt hebben:þ* Set 1: kerstman, elf1, versieringelf1, versieringelf2þ* Set 2: elf1, versieringelf3, versieringelf4, versieringelf5þþ**Voeg Walkie-talkie-elfjes toe aan de code met behulp van het composite-pattern**þþ## Oefening 2a: RefactoringþþYou know what to do.þþ## Oefening 2b: Aantal versieringenþþDe kerstman is nogal vergeetachtig en zou graag willen kunnen opvragen hoeveel elfjes hij nu heeft geoutsourcet voor zijn hobbyproject.þGebruik de huidige structuur van het composite pattern om dit op te vragen."
tomsford/TrabajoFinalTallerIBDS,,False,False,1108,0,0,4,User,False,,,,68,Java,"{'xml': 1, 'jpr': 1, 'pdf': 1, 'html': 27, '': 1, 'js': 1, 'css': 1, 'java': 26, 'form': 6, 'txt': 1, 'md': 1, 'jws': 1}",34,1,0,1,0,633,True,0,0,0,0,0,7,0,0,8,0,0,0,0,0,0,0,,,0,,# TrabajoFinalTallerIBDS
giloutho/Logfly,,False,False,19500,11,5,5,User,False,Logfly is a log book which stores your flights with GPS tracks or not,,"{'key': 'gpl-3.0', 'name': 'GNU General Public License v3.0', 'spdx_id': 'GPL-3.0', 'url': 'https://api.github.com/licenses/gpl-3.0', 'node_id': 'MDc6TGljZW5zZTk='}",326,Java,"{'': 11, 'properties': 7, 'lock': 2, 'bin': 6, 'jpg': 1, 'md': 1, 'gradle': 2, 'exe': 3, 'jar': 9, 'icns': 1, 'ico': 1, 'java': 190, 'png': 54, 'fxml': 21, 'css': 3, 'txt': 12, 'inf': 2}",1380,1,0,4,0,1090,True,13,1,2,0,2,0,0,0,10,1,0,0,0,0,0,0,,,0,,"# LogflyþLogfly is a log book which stores paragliding flights with GPS tracks or not. It's possible to visualize flights and evaluate the score for online contest. It works on Windows, Mac and Linux.þþ![Logfly screenshot](http://logfly.org/download/Divers/Logfly_uk.jpg)þþ**Build and run requirements :**   þThe optimization task (finding largest free flight, flat or FAI triangle) on the tracklogs is computed by an external program writen by [Ondrej Palkovsky](http://www.penguin.cz/~ondrap/paragliding.php) called ***points***. þFlymaster and Flytec communication are made with ***GPSDump*** writen by [Stein Sorensen](http://www.gpsdump.no/).þThey are free but not open source programs. It's necessary to put the binaries of your platform at the right place. Folder runlib-win contains the windows exexutables, runlib_mac the mac versions and runlib_linux the 32 bits binaries. To run the code in an IDE, you must place points and GpsDump at the root of the project. To build the project with gradle, you must place the binaries of your platform in folder src/main/runlib. In the final bundle, points and GPSDump will be placed at the same level than logfly.jar.þþ**Thanks :**  þLogfly was made possible by many Github contributors. Special thanks to [Tom Payne](https://github.com/twpayne) for his great job on paragliding tracks, to [Victor Berchet](https://github.com/vicb) for VisuGPS,  to [Rishi Gupta](https://github.com/RishiGupta12) for the serial SDK SerialPundit and Alessandro Faillace for Flymaster Plus. þþþ[License](LICENSE)"
marianhtuyet/Java,,False,False,32296,0,0,4,User,False,Các phần code trong môn Java,,,519,Java,"{'': 2, 'xml': 39, 'mf': 10, 'properties': 34, 'java': 163, 'pdf': 11, 'fxml': 53, 'css': 8, 'sql': 3, 'form': 8, 'svg': 1, 'png': 30, 'jpg': 18, 'rar': 1, '0/bin/fontawesomefx-glyphsbrowser': 1, 'bat': 1, 'jar': 35, 'class': 73, 'db': 3, 'html': 1, 'jnlp': 1, 'js': 1, 'gif': 2, 'txt': 8, 'gz': 2, 'dll': 8, 'TXT': 1, 'md': 1}",13,1,0,1,0,618,True,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,,,0,,# Java
SaidaShamim/SprinbootWithJdbc,,False,False,9,0,0,2,User,False,,,,10,Java,"{'xml': 1, 'java': 6, 'properties': 1, 'md': 1, '': 1}",12,1,0,3,0,625,True,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,,,0,,# SprinbootWithJdbcþþþShaidaniiiii......
